,Time,Year,Month,Day,Period,Weekday,is_holiday,is_weekend,Mean Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather,Total Trips,Member Trips,Casual Trips,Mean Trip Duration (sec)
0,2017-01-01,2017,1,1,1,6,True,True,1.25,-4.1000000000000005,67.66666666666667,25.666666666666668,33.5,16.099999999999998,100.21833333333332,Clear,69,65,4,593.0869565217391
1,2017-01-01,2017,1,1,2,6,True,True,0.0749999999999999,-5.0,68.75,25.0,28.75,16.1,100.8575,Clear,18,18,0,491.55555555555554
2,2017-01-01,2017,1,1,3,6,True,True,2.22,-5.42,57.2,23.8,20.2,16.1,101.222,Clear,116,96,20,784.1034482758621
3,2017-01-01,2017,1,1,4,6,True,True,2.425,-4.95,58.25,22.75,17.25,16.1,101.4275,Clear,171,141,30,697.1052631578947
4,2017-01-01,2017,1,1,5,6,True,True,1.0,-3.04,74.6,23.8,12.6,16.1,101.704,Clear,108,92,16,691.7777777777778
5,2017-01-02,2017,1,2,1,0,True,False,0.65,-2.2333333333333334,81.0,5.2,11.833333333333334,16.099999999999998,101.785,Clear,32,30,2,582.5
6,2017-01-02,2017,1,2,2,0,True,False,2.5,0.3,85.5,6.25,22.5,15.3,101.7775,Clear,53,52,1,643.5094339622641
7,2017-01-02,2017,1,2,3,0,True,False,3.88,0.4999999999999999,78.8,6.4,26.2,16.1,101.628,Clear,254,235,19,643.6456692913385
8,2017-01-02,2017,1,2,4,0,True,False,3.95,0.6,78.75,7.0,26.75,16.1,101.45,Clear,278,241,37,650.9388489208633
9,2017-01-02,2017,1,2,5,0,True,False,3.88,2.3,89.4,7.2,17.6,14.18,101.114,Clear,209,198,11,594.6267942583733
10,2017-01-03,2017,1,3,1,1,False,False,3.883333333333333,3.35,96.33333333333331,6.166666666666667,19.666666666666668,6.699999999999999,100.7,Precipitation,35,31,4,737.9428571428572
11,2017-01-03,2017,1,3,2,1,False,False,4.2,3.9,98.0,8.75,17.0,9.25,100.215,Clear,182,178,4,665.434065934066
12,2017-01-03,2017,1,3,3,1,False,False,4.3,4.0,98.0,6.4,16.0,9.04,99.776,Precipitation,194,191,3,628.7216494845361
13,2017-01-03,2017,1,3,4,1,False,False,4.7250000000000005,4.25,96.75,5.25,14.25,14.500000000000002,99.31,Precipitation,283,280,3,634.0918727915194
14,2017-01-03,2017,1,3,5,1,False,False,4.319999999999999,3.54,94.6,21.2,9.2,10.3,98.974,Precipitation,177,173,4,695.090395480226
15,2017-01-04,2017,1,4,1,2,False,False,3.266666666666667,2.033333333333333,91.83333333333331,26.666666666666668,17.166666666666668,15.033333333333331,98.75166666666668,Clear,27,27,0,571.0
16,2017-01-04,2017,1,4,2,2,False,False,3.3,0.175,80.0,25.5,32.5,16.1,98.835,Clear,291,287,4,630.872852233677
17,2017-01-04,2017,1,4,3,2,False,False,-0.8400000000000001,-7.2,62.4,26.2,47.0,16.1,99.076,Clear,391,376,15,625.5217391304348
18,2017-01-04,2017,1,4,4,2,False,False,-4.575,-11.275,60.0,25.75,48.0,16.1,99.415,Clear,408,397,11,639.2598039215686
19,2017-01-04,2017,1,4,5,2,False,False,-6.74,-11.56,68.8,25.2,47.8,15.14,99.624,Clear,278,274,4,589.4532374100719
20,2017-01-05,2017,1,5,1,3,False,False,-6.25,-10.966666666666669,69.5,24.5,46.833333333333336,16.099999999999998,99.835,Clear,21,21,0,616.3809523809524
21,2017-01-05,2017,1,5,2,3,False,False,-6.775,-11.325,70.25,24.5,40.75,16.1,100.1525,Clear,224,223,1,621.2232142857143
22,2017-01-05,2017,1,5,3,3,False,False,-6.2,-12.5,61.4,25.2,32.8,16.1,100.226,Clear,311,304,7,605.6945337620579
23,2017-01-05,2017,1,5,4,3,False,False,-6.5,-12.2,64.25,26.75,26.75,15.7,100.185,Clear,391,384,7,600.1867007672635
24,2017-01-05,2017,1,5,5,3,False,False,-8.4,-13.64,66.4,27.6,26.4,16.1,100.372,Clear,263,259,4,629.574144486692
25,2017-01-06,2017,1,6,1,4,False,False,-10.266666666666667,-14.833333333333334,69.5,27.666666666666668,23.83333333333333,16.099999999999998,100.585,Clear,37,33,4,651.2972972972973
26,2017-01-06,2017,1,6,2,4,False,False,-11.15,-15.575,70.25,26.75,24.75,16.1,100.805,Clear,214,210,4,606.8084112149533
27,2017-01-06,2017,1,6,3,4,False,False,-7.399999999999999,-15.94,51.0,26.4,22.8,16.1,101.004,Clear,290,290,0,555.5931034482759
28,2017-01-06,2017,1,6,4,4,False,False,-7.65,-16.35,50.25,27.75,24.0,16.1,101.215,Clear,399,377,22,641.609022556391
29,2017-01-06,2017,1,6,5,4,False,False,-9.78,-16.22,60.0,28.2,19.4,16.1,101.554,Clear,235,233,2,606.5148936170212
30,2017-01-07,2017,1,7,1,5,False,True,-10.966666666666669,-15.55,69.33333333333333,28.666666666666668,14.5,16.099999999999998,101.74333333333334,Clear,39,37,2,580.3589743589744
31,2017-01-07,2017,1,7,2,5,False,True,-11.475,-15.225,74.25,26.5,9.25,16.1,101.82,Clear,26,26,0,555.8076923076923
32,2017-01-07,2017,1,7,3,5,False,True,-7.720000000000001,-13.220000000000002,65.2,27.0,13.8,16.1,101.754,Clear,215,213,2,560.5813953488372
33,2017-01-07,2017,1,7,4,5,False,True,-8.25,-15.474999999999998,56.5,27.25,23.75,16.1,101.6375,Clear,181,178,3,632.6298342541437
34,2017-01-07,2017,1,7,5,5,False,True,-9.9,-15.320000000000002,65.2,24.6,32.8,16.1,101.58599999999998,Clear,92,88,4,553.3152173913044
35,2017-01-08,2017,1,8,1,6,False,True,-9.15,-13.383333333333333,71.83333333333333,26.666666666666668,32.0,16.099999999999998,101.34666666666668,Clear,39,39,0,637.0512820512821
36,2017-01-08,2017,1,8,2,6,False,True,-9.625,-17.15,55.0,29.75,24.5,16.1,101.69,Clear,20,18,2,469.0
37,2017-01-08,2017,1,8,3,6,False,True,-9.14,-17.66,51.0,30.8,30.4,16.1,102.106,Clear,158,156,2,494.2911392405063
38,2017-01-08,2017,1,8,4,6,False,True,-9.775,-17.299999999999997,55.0,31.25,17.5,16.1,102.4525,Clear,159,157,2,510.8427672955975
39,2017-01-08,2017,1,8,5,6,False,True,-10.14,-15.84,63.8,27.0,16.4,16.1,102.68800000000002,Clear,109,108,1,549.3302752293578
40,2017-01-09,2017,1,9,1,0,False,False,-7.366666666666666,-13.116666666666664,64.0,24.666666666666668,26.666666666666668,16.099999999999998,102.50666666666666,Clear,19,19,0,413.578947368421
41,2017-01-09,2017,1,9,2,0,False,False,-5.275,-10.025,69.5,21.5,39.75,16.1,102.29,Precipitation,277,276,1,633.0613718411553
42,2017-01-09,2017,1,9,3,0,False,False,-3.76,-8.620000000000001,69.4,22.0,41.8,15.14,101.96,Clear,317,313,4,583.2902208201892
43,2017-01-09,2017,1,9,4,0,False,False,-2.375,-8.925,61.0,24.0,29.75,16.1,101.8675,Clear,451,444,7,612.0753880266076
44,2017-01-09,2017,1,9,5,0,False,False,-1.7599999999999998,-7.159999999999999,66.8,22.8,30.2,16.1,101.916,Clear,297,293,4,631.7171717171717
45,2017-01-10,2017,1,10,1,1,False,False,-0.7166666666666667,-6.516666666666666,65.0,20.0,24.83333333333333,12.883333333333333,101.69666666666666,Clear,27,26,1,664.2222222222222
46,2017-01-10,2017,1,10,2,1,False,False,-0.95,-2.325,90.5,15.75,21.5,2.2,101.3225,Precipitation,107,107,0,742.6355140186915
47,2017-01-10,2017,1,10,3,1,False,False,0.58,-2.5,80.2,13.6,19.2,12.24,100.72,Precipitation,142,141,1,635.443661971831
48,2017-01-10,2017,1,10,4,1,False,False,2.35,1.525,94.25,15.5,21.25,12.5,99.9325,Precipitation,135,135,0,682.6814814814815
49,2017-01-10,2017,1,10,5,1,False,False,5.26,4.0200000000000005,91.6,19.2,26.2,10.98,99.204,Precipitation,113,112,1,619.4601769911504
